film_id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm136257,Beasts of No Nation,MOVIE,"Based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows Agu's journey as he's forced to join a group of soldiers. While he fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination.",2015,R,137,"['drama', 'war']","['GH', 'US']",-1.0,tt1365050,7.7,80750.0,10.424,7.6,Netflix
tm244403,ARQ,MOVIE,Two old friends living in a dystopic future become trapped in a mysterious time loop — one that may have something to do with an ongoing battle between an omnipotent corporation and a ragtag band of rebels.,2016,R,88,"['scifi', 'thriller', 'action']",['US'],-1.0,tt5640450,6.3,39108.0,20.157,6.1,Netflix
tm200690,The Forest,MOVIE,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",2016,R,95,"['horror', 'thriller', 'scifi', 'drama', 'fantasy']",['US'],-1.0,tt3387542,4.8,42561.0,33.204,5.2,Netflix
ts53287,Roman Empire,SHOW,"This stylish mix of documentary and historical epic chronicles the reign of Commodus, the emperor whose rule marked the beginning of Rome's fall.",2016,TV-14,44,"['drama', 'documentation', 'history', 'war']",['US'],3.0,tt6233538,7.0,7742.0,21.454,6.9,Netflix
ts37660,Reply 1988,SHOW,A nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.,2015,TV-14,92,"['comedy', 'drama', 'family', 'romance']",['KR'],1.0,tt5182866,9.2,6718.0,18.37,8.7,Netflix
tm147082,"What Happened, Miss Simone?",MOVIE,"The film chronicles Nina Simone's journey from child piano prodigy to iconic musician and passionate activist, told in her own words.",2015,unknown,101,"['music', 'documentation']",['US'],-1.0,tt4284010,7.6,13872.0,6.186,7.5,Netflix
ts38731,Rebellion,SHOW,"A group of young men and women in Dublin in 1916 are embroiled in a fight for independence during the Easter Rising. The story begins with the outbreak of World War I. As expectations of a short and glorious campaign are dashed, social stability is eroded and Irish nationalism comes to the fore. The tumultuous events that follow are seen through the eyes of a group of friends from Dublin, Belfast and London as they play vital and conflicting roles in the narrative of Ireland's independence.",2016,TV-14,51,"['war', 'drama', 'history', 'european']","['IE', 'GB']",2.0,tt4699982,7.1,3802.0,13.651,7.1,Netflix
ts38809,The Get Down,SHOW,"In 1977 New York City, the talented and soulful youth of the South Bronx chase dreams and breakneck beats to transform music history.",2016,TV-MA,62,"['drama', 'music']",['US'],2.0,tt4592410,8.2,22462.0,7.479,7.348,Netflix
tm233465,The Bye Bye Man,MOVIE,"When three college students move into an old house off campus, they unwittingly unleash a supernatural entity known as The Bye Bye Man, who comes to prey upon them once they discover his name. The friends must try to save each other, all the while keeping The Bye Bye Man's existence a secret to save others from the same deadly fate.",2016,PG-13,96,"['thriller', 'horror', 'fantasy', 'drama']",['US'],-1.0,tt4030600,4.3,23960.0,28.381,5.2,Netflix
ts53249,Trollhunters: Tales of Arcadia,SHOW,"After uncovering a mysterious amulet, an average teen assumes an unlikely destiny and sets out to save two worlds.",2016,TV-Y7,22,"['scifi', 'action', 'fantasy', 'comedy', 'drama', 'animation', 'family']",['US'],3.0,tt1734135,8.4,16779.0,50.896,8.5,Netflix
tm230551,Ip Man 3,MOVIE,"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.",2015,PG-13,105,"['action', 'drama', 'history']","['HK', 'CN']",-1.0,tt2888046,7.0,54977.0,38.051,7.0,Netflix
