person_id,name
71580,Mary Kathleen Walker
71581,Bryant Washburn
573361,Elvira Ríos
25637,John Ford
25019,Katharine Hepburn
25018,Cary Grant
102588,Charles Ruggles
49040,Walter Catlett
51914,Barry Fitzgerald
66967,May Robson
58958,Fritz Feld
152131,George Irving
151843,Tala Birell
1824575,Virginia Walker
138199,John Kelly
26245,William Benedict
74039,Billy Bevan
574678,Judith Ford
98829,Edward Gargan
41674,Paul Guilfoyle
79579,Karl 'Karchy' Kosiczky
25185,Toshirō Mifune
125722,Machiko Kyō
29794,Takashi Shimura
29793,Masayuki Mori
29795,Minoru Chiaki
29796,Kichijirô Ueda
29797,Noriko Honma
29798,Daisuke Katō
29799,Akira Kurosawa
25020,James Stewart
25021,Ruth Hussey
25026,John Howard
73863,Roland Young
25022,John Halliday
84400,Mary Nash
25023,Virginia Weidler
22454,Henry Daniell
25025,Lionel Pape
25024,Rex Evans
153924,King Baggot
102391,Hillary Brooke
313689,Veda Buckland
154896,Lita Chevret
41704,Russ Clark
60614,David Clyde
313692,Robert De Bruce
153382,Dorothy Fay
138080,Claude King
27298,Eric Mayne
313695,Florine McKinney
47827,Hilda Plowright
65184,Helene Reynolds
110897,Mildred Shay
8042,Joseph Sweeney
2357267,Sally Cleaves
207582,Oliver Cross
551111,Paul Power
27358,Florence Wix
21759,Charlie Chaplin
136049,Georgia Hale
138529,Mack Swain
394523,Tom Murray
21761,Henry Bergman
154599,Malcolm Waite
583071,Harry Arras
63040,James Dime
583386,Charles Force
182578,J. C. Fowler
583607,Ray Grey
583960,William Hackett
570652,Jack Herrick
156510,George Holt
37134,Steve Murphy
207769,Frank Rice
207770,Joe Smith
41702,John Wallace
24703,Albert Austin
21779,Heinie Conklin
21766,Al Ernest Garcia
21790,John Rand
182768,Tom Wood
47799,Kay Deslys
207771,Joan Lowell
205993,Betty Morrissey
205994,Inez Gomez
205995,Helen Hayward
205996,Betty Pierce
205997,Jane Sherman
27349,Bess Wade
205998,Mary Williams
205999,Sid Grauman
24721,Lita Grey
1400227,Margarita Martín
206000,Barbara Pierce
21762,Tiny Sandford
27331,Larry Steers
27733,Robert Donat
27735,Madeleine Carroll
27736,Lucie Mannheim
27737,Godfrey Tearle
27738,Peggy Ashcroft
27739,John Laurie
27741,Helen Haye
27742,Frank Cellier
27743,Wylie Watson
27744,Gus McNaughton
27745,Jerry Verno
27747,Peggy Simpson
116463,Matthew Boulton
27748,Pat Hagate
17107,Alfred Hitchcock
218285,Carleton Hobbs
27749,Elizabeth Inglis
640324,Quinton McPherson
27750,Frederick Piper
27751,Hilda Trevelyan
72256,Ivor Barnard
207764,Ex-Det. Sergt. Bishop
72267,Wallace Bosco
43184,Vida Hope
572282,James Knight
63674,Miles Malleson
151327,John Rae
154153,John Turnbull
116464,S. J. Warmington
33344,Charles Bennett
106339,Roger Livesey
60927,Adolf Wohlbrück
60838,Roland Culver
132362,James McKechnie
563934,Arthur Wontner
152088,David Hutcheson
154705,Ursula Jeans
562548,Harry Welchman
515628,Robert Harris
559933,A.E. Matthews
553978,Theodore Zichy
577058,Jane Millican
137617,Neville Mapp
559264,Vincent Holman
152184,Spencer Trevor
569479,Dennis Arundell
199904,David Ward
568239,Jan Van Loewen
72268,Valentine Dyall
763,Carl Jaffe
29181,Albert Lieven
565999,Eric Maturin
566832,Frith Banbury
562883,Phyllis Morris
137655,Muriel Aked
152082,Reginald Tate
566039,Yvonne Andre
940025,Marjorie Gresley
35476,Felix Aylmer
105795,Norman Pierce
153643,Edward Cooper
566791,Joan Swinstead
1902620,Pat McGrath
60928,Moira Shearer
60934,Marius Goring
60929,Léonide Massine
60930,Robert Helpmann
60931,Albert Bassermann
60933,Ludmilla Tchérina
239250,Jean Short
239253,Gordon Littmann
239251,Julia Lang
71606,Bill Shine
239252,Austin Trevor
155059,Eric Berry
152814,Irene Browne
239254,Derek Elphinstone
239255,Marie Rambert
239258,Joy Rawlins
239256,Marcel Poncin
239257,Michel Bazalgette
120559,Georges Méliès
120561,Bleuette Bernon
120563,Victor André
120560,Henri Delannoy
120562,Brunnet
120564,Depierre
120566,Farjaut
120567,Kelm
120568,François Lallement
120565,Jehanne d'Alcy
120569,Jules-Eugène Legris
60738,Harold Lloyd
56394,Jobyna Ralston
134319,Leo Willis
45710,Constantine Romanoff
154310,Eddie Boland
578666,Frank Lanning
582229,Ralph Yearsley
69206,Ted Wilde
90194,Jack Oakie
60470,Reginald Gardiner
6137,Billy Gilbert
90195,Grace Hayle
64457,Carter DeHaven
21760,Paulette Goddard
90196,Maurice Moscovitch
45077,Emma Dunn
90197,Bernard Gorcey
45717,Paul Weigel
21763,Chester Conklin
58341,Esther Michelson
21764,Hank Mann
90202,Florence Wright
90198,Eddie Gribbon
90199,Rudolph Anders
75124,Eddie Dunn
90200,Nita Pike
90201,George Lynn
71897,Wheeler Dryden
90203,Fred Aldrich
21767,Richard Alexander
58852,Sig Arno
27207,William Arnold
41686,Joe Bordeaux
90204,Don Brodie
90206,John Davidson
90205,Max Davidson
27244,Lew Davis
28514,Eddie Hart
61126,Leyland Hodgson
45702,William Irving
60616,Charles Irwin
90208,Nellie V. Nichols
90209,Jack Perrin
57374,Lucien Prival
27323,Henry Roquemore
90210,Hans Schumm
45712,Harry Semels
27336,Charles Sullivan
90211,Carl Voss
21778,Harry Wilson
10113,Hans Conried
207720,Francis Ernest Drake
191158,Francesca Santoro
24595,John Mills
57372,Valerie Hobson
490101,Tony Wager
72255,Bernard Miles
70619,Francis L. Sullivan
13686,Finlay Currie
37279,Martita Hunt
1992,Alec Guinness
37075,Freda Jackson
564528,Eileen Erskine
212769,George Hayes
105783,Hay Petrie
564808,John Forrest
22456,Torin Thatcher
571230,O.B. Clarence
708081,John Burch
566285,Richard George
204625,Grace Denbigh Russell
72264,Everley Gregg
567186,Anne Holland
41683,Frank Atkinson
155649,Gordon Begg
137654,Edie Martin
708082,Walford Hyden
702208,Roy Arthur
15802,David Lean
24701,Jackie Coogan
24702,Edna Purviance
24705,Carl Miller
24730,Charles Reisner
598679,Beulah Bains
24707,Nellie Bly Baker
24719,Edward Biby
24708,F. Blinn
24706,Kitty Bradbury
24710,Frank Campeau
24712,Bliss Chevalier
24709,Frances Cochran
598682,Elsie Codd
24713,Jack Coogan Sr.
24714,Estelle Cook
24717,Lillian Crane
24715,Dan Dillon
24716,Philip D'Oench
24718,Robert Dunbar
24720,Sadie Gordon
24722,Jules Hanft
24723,Kathleen Kay
24724,Raymond Lee
24726,John McKinnon
24728,Lew Parker
24727,Esther Ralston
24729,Granville Redmond
24731,Edgar Sherrod
24732,S.D. Wilcox
24733,Tom Wilson
30856,Margaret Lockwood
30857,Michael Redgrave
30860,May Whitty
30858,Paul Lukas
30863,Basil Radford
30862,Naunton Wayne
24601,Cecil Parker
30861,Linden Travers
30864,Mary Clare
598732,Emile Boreo
30866,Googie Withers
598733,Sally Stewart
598734,Philip Leaver
30869,Selma Vaz Dias
150893,Catherine Lacey
153244,Josephine Wilson
571083,Charles Oliver
617264,Kathleen Tremaine
713348,Ernest Blyth
88929,Roy Russell
2114338,Alf Casha
1542667,Nan Kearns
800635,John Miller
1319721,John More
151326,Charles Rolfe
47238,Aleksandr Antonov
47239,Vladimir Barsky
47240,Grigori Aleksandrov
47241,Ivan Bobrov
47243,Mikhail Gomorov
47244,Aleksandr Levshin
774618,N. Poltavtseva
774617,Konstantin Feldman
47242,Beatrice Vitoldi
207772,Danylo Antonovych
47245,Sergei Eisenstein
105499,Andrey Fayt
881819,Yuriy Korobeynikov (I)
207773,Vladimir Uralsky
774681,Zerenin
774682,Aleksanteri Ahola-Valo
25632,Walter Brennan
100475,Dolores Moran
29996,Hoagy Carmichael
57481,Sheldon Leonard
100476,Walter Szurovy
100477,Aldo Nadi
60615,Lance Fuller
60731,Maurice Marsac
64162,Ron Randell
100478,Marcel De La Brosse
100479,Elzie Emanuel
100480,Harold Garrison
100481,Suzette Harbin
100482,Sir Lancelot
100483,Paul Marion
100484,George Suzanne
96362,Crane Whitley
100485,Chef Milani
100486,Pedro Regas
100487,Patricia Shay
100488,Emmett Smith
100489,Marguerita Sylva
28508,Pat West
416376,Virginia Cherrill
134277,Harry Myers
22463,Eddie Baker
580492,Jeanne Carpenter
489445,Tom Dempsey
534060,James Donnelly
113879,Ray Erlenborn
154983,Robert Graves
207748,Charles Hammond
207749,Joseph Herrick
62954,Austen Jewell
203425,Willie Keeler
73147,Robert Parrish
156353,W.C. Robinson
207750,Cy Slocum
205985,Tony Stabenau
175609,Mark Strong
205986,Tiny Ward
138580,Stanhope Wheatcroft
1730651,Florence Lee
74801,Jean Harlow
47907,Fred Astaire
53356,Ginger Rogers
31473,Edward Everett Horton
153270,Erik Rhodes
25057,Eric Blore
106172,Helen Broderick
67198,Lucille Ball
45547,Leonard Mudie
60960,Dennis O'Keefe
74828,Nick Thompson
127813,Tom Ricketts
106317,Mark Sandrich
60739,Mildred Davis
60740,Bill Strother
60741,Noah Young
60742,Westcott Clarke
584689,Roy Brooks
20175,Mickey Daniels
584312,Richard Daniels
182765,William Gillespie
109674,Helen Gilmore
69194,Wallace Howe
182763,James T. Kelley
582734,Billie Latimer
69198,Gus Leonard
69200,Sam Lufkin
584033,Earl Mohan
